review,sentiment
"Stuck in a hotel in Kuwait, I happily switched to the channel showing this at the very beginning. First Pachelbel's Canon brought a lump to my throat, then the sight of a Tiger Moth (which my grandfather, my father and I have all flown) produced a slight dampness around the eyes and then Crowe's name hooked me completely. I was entranced by this film, Crowe's performance (again), the subject matter (and yes, what a debt we owe), how various matters were addressed and dealt with, the flying sequences (my father flew Avro Ansons, too), the story - and, as another contributor pointed out, Crowe's recitation of High Flight. I won't spoil the film for anyone, but, separated from my wife by 4,000-odd miles, as an ex-army officer who was deployed in a couple of wars and as private pilot, I admit to crying heartily a couple of times. Buy it, rent it, download it, beg, borrow or steal it - but watch it.<br /><br />PS Did I spy a Bristol Blenheim (in yellow training colours)on the ground? Looked like a twin-engine aircraft with a twin-.303 Brownings in a dorsal turret.",positive
"Warning: This could spoil your movie. Watch it, see if you agree.<br /><br /> To think that we as humans can not learn from the past. The futuristic society portrayed glamorized what Hitler believed, obliterate a race of people (in this case men) for the benefit of society. It made me sick to my stomach. Also the plausibility of a Y bomb is insane. Even in war our instinct for self-preservation will prevent the extinction of humanity. We made mistakes in the past ie: Japan, Hiroshima and Nagasaki in '45 but because of that we avoided a bigger mistake in '63 during the Cuban Missile Crisis",negative
"Some of the background details of this story are based, very, very loosely, on real events of the era in which this was placed. The story combines some of the details of the famous Leopold and Loeb case along with a bit of Aimee Semple McPherson.<br /><br />The story begins with two mothers (Shelley Winters and Debbie Reynolds) being hounded as they leave a courtroom. The crowd seems most intent on doing them bodily harm as their sons were just convicted of a heinous thrill crime. One person in the crowd apparently slashes Winters' hand as they make their way to a waiting car.<br /><br />Soon after they arrive home, they begin getting threatening phone calls, so Reynolds suggests they both move to the West Coast together and open a dance school. The dance school is s success and they cater to incredibly obnoxious parents who think their child is the next Shirley Temple. One of the parents of these spoiled kids is a multimillionaire who is quite smitten with Reynolds and they begin dating. Life appears very good. But, when the threatening phone calls begin again, Winters responds by flipping out--behaving like she's nearing a psychotic break and she retreats further and further into religion--listening on the radio to 'Sister Alma' almost constantly. Again and again, you see Winters on edge and it ultimately culminates in very bad things!! I won't say more, as it might spoil this suspenseful and interesting film.<br /><br />In many ways, this film is a lot like the Bette Davis and Joan Crawford horror films of the 1960s like ""Whatever Happened to Baby Jane?"", ""Straight-Jacket"" and ""The Nanny"". While none of these are exactly intellectual fare, on a kitsch level they are immensely entertaining and fun. The writing is very good and there are some nice twists near the end that make it all very exciting. Winters is great as a fragile and demented lady and Reynolds plays one of the sexiest 39 year-olds I've ever seen--plus she can really, really dance.<br /><br />My only concern about all this is that some might find Winters' hyper-religiosity in the film a bit tacky--like a cheap attack on Christianity. At first I felt that way, but when you meet Sister Alma, she seems sincere and is not mocked, so I took Winters' religious zeal as just a sign of craziness--which, I assume, is all that was intended.<br /><br />By the way, this film is packaged along with ""Whoever Slew Auntie Roo?""--another Shelley Winters horror film from 1971. Both are great fun...and quite over-the-top!",positive
"This is a pleasant film, even if the premise is silly. It was sort of a guilty pleasure to watch. Meg Ryan seems to be able to pull off roles in this kind of film (another example is Joe vs. the Volcano). That's what makes her a star, in part. Walter Matthau, of course, had that ability, too, and he really puts himself into the role, making an amusing, good-hearted Einstein. I suppose you could say they're both good at portraying loveable characters, though loveable in different ways (loveable young women vs. loveable curmudgeon).",positive
"Quite what the producers of this appalling adaptation were trying to do is impossible to fathom.<br /><br />A group of top quality actors, in the main well cast (with a couple of notable exceptions), who give pretty good performances. Penelope Keith is perfect as Aunt Louise and equally good is Joanna Lumley as Diana. All do well with the scripts they were given.<br /><br />So much for the good. The average would include the sets. Nancherrow is nothing like the house described in the book, although bizarrely the house they use for the Dower House looks remarkably like it. It is clear then that the Dower House is far too big. In the later parts, the writers decided to bring the entire story back to the UK, presumably to save money, although with a little imagination I have no doubt they could have recreated Ceylon.<br /><br />Now to the bad. The screenplay. This is such an appallingly bad adaptation is hard to find words to condemn it. Edward does not die in the battle of Britain but survives, blinded. He makes a brief appearance then commits suicide - why?? Loveday has changed from the young woman totally in love with Gus to a sensible farmer's wife who can give up the love her life with barely a tear (less emotional than Brief Encounter). Gus, a man besotted and passionately in love, is prepared to give up his love without complaint. Walter (Mudge in the book) turns from a shallow unfaithful husband to a devoted family man. Jess is made into a psychologically disturbed young woman who won't speak. Aunt Biddy still has a drink problem but now without any justification. The Dower House is occupied by the army for no obvious reason other than a very short scene with Jess who has a fear of armed soldiers. Whilst Miss Mortimer's breasts are utterly delightful, I could not see how their display on several occasions moved the plot forward. The delightfully named Nettlebed becomes the mundane Dobson. The word limit prevents me from continuing the list.<br /><br />There is a sequel (which I lost all interest in watching after this nonsense) and I wonder if the changes were made to create the follow on story. It is difficult to image that Rosamunde Pilcher would have approved this grotesque perversion of her book; presumably she lost her control when the rights were purchased.",negative
"There must have been some interesting conversations on the set of Eagle's Wing, with Martin Sheen straight off Apocalypse Now co-starred with the actor he replaced on Coppola's film, Harvey Keitel. A real unloved child of a movie, dating back to the last major batch of Westerns in 1979-80, it was much reviled at the time for being made by a British studio and director (conveniently ignoring the fact that many of the classic American westerns were directed by European émigrés), which seems a bit of an over-reaction.<br /><br />The plot is simplicity itself, as Martin Sheen's inexperienced trapper finds himself fighting with Sam Waterston's nonosyllabic Kiowa warrior over the possession of a beautiful white horse, the Eagle's Wing, across a harsh and primitive landscape in a time ""before the legends began."" Aside from Caroline Langrishe's captive Irish governess, the supporting cast have little to do (Stephane Audran never even gets to open her mouth) and it is a little slow, but Anthony Harvey's film does boast terrific Scope photography from Billy Williams and a good score from Marc Wilkinson.",positive
"I got stuck in traffic (I live in Sicily) on the way to the theater (at a military base) to see Superman Returns, was 15 minutes late, and the only other movie playing was ""See No Evil"", there was no poster up for it, and just a short description of the movie on the schedule...but my girlfriend and I decided to check it out...As soon as I saw it was produced by WWE I just knew it was gonna be awful. The few people in the theater were laughing most of the time, and it was the first movie that I honestly considered walking out on, and I've seen ""The Ringer""...okay, I would have walked out of that one, but I was too busy sleeping. The death of the bad guy at the end was pretty good, but other than that, it was just stupid.",negative
"I've been trying to find out about this series for ages! Thank you, IMDb! I saw this as a child and have never quite been able to get it out of my mind. As a 6-year old, of course, I was particularly struck by the episode of the cyclops, which was absolutely chilling (I talked about it so much that my older brother made me a cyclops out of a plastic cave man figurine, which I still have) What I also remember, though, was the atmosphere, which was unusual right from the beginning - mysterious, austere, and extremely authentic. When I read the original many years later I experienced that same sensation. It's a very hard thing to capture - and probably impossible in Hollywood. Every 'Odyssey' I've seen since has been an enormous let-down. The characters in this series seemed genuine, real people - ancient Greek people - and not some Hollywood stars in costumes. This is a real masterpiece! But - Why is it not better known? And why isn't it available on VHS or DVD? I would just love to have the chance to see this again!",positive
"I don't know if this type of movie was as cliché then as it seems to be now.<br /><br />Considering how many ""Bad News Bears"" films had already been released by 1980, however, I think that this sort of movie was already a tired idea.<br /><br />A former football player is partially paralyzed in Vietnam and is confined to a wheelchair. The Chicago Bears offer him a PR job but he wants to coach. At the same time, his underage nephew is picked up for armed robbery. We are told that he has already been arrested over a dozen times before and he must now serve some hard time...which turns out to be less than a year! <br /><br />Of course, the kid is actually a good kid who only needs a tough male role model in his life. The same goes for all of the kids in the detention facility. Yes...even the one locked up for attempted murder! I'm sure you already know what happens so I'll try and keep the rest of this brief.<br /><br />Our protagonist becomes the coach of the kids' football team. He overcomes the delinquents' cynicism and earns their respect. His team faces off against a local high school team (yeah right!) and they get their butts kicked. Now determined more than ever to prove himself a worthy coach, he demands a rematch. Will these underprivileged, scrappy kids with hearts of gold be able to improve enough to win the rematch? Awful execution of the football sequences ruins any possibility of excitement in this film. ""Coach Of The Year"" should get penalized for roughing my brain. 1/10",negative
"I went to see this film out of curiosity, and to settle an argument. The film is now best known from the suite of music Sergei Prokofiev extracted from his incidental music to the film, the Troika movement even turning up in pop arrangements. The general outline of the plot is well known from the sleeve notes on various recordings. A clerk accidentally generates a non-existent Lieutenant Kizhe in a list to be presented to the tsar. The tsar is interested in this person, and rather than tell him he doesn't exist, the courtiers and officers maintain the pretence that he is real. Kizhe is exiled to Siberia, recalled, promoted, married, promoted again, dies, is given a state funeral, revealed as an embezzler and posthumously demoted to the ranks.<br /><br />I had heard conflicting stories about how the clerk invented Kizhe, involving ink blots and sneezes, but I'd heard the film was lost, so there was no way to find out what happens. Then the film turned up at the Barbican in London as part of their Prokofiev festival. For the record, it turned out that all that happens is that the clerk confuses two words whilst writing an order and turns Kuzhe into Kizhe. As the tsar is in a hurry to see the order, there's no time to correct the mistake.<br /><br />Having gone expecting an historical curiosity, I was pleasantly surprised. The film is very funny, and the audience, myself included, laughed continuously. Although most of it is filmed straight, set mostly in the palace, there are a few ""trick"" shots where multiple images appear on the screen. For instance, the tsar's army is represented by a small group, repeated across the screen. Four identical guards perform perfect drill in perfect unison. Two identical servants scrub the floor.<br /><br />One slight drawback was it was very difficult to work out who everyone was. There were two women who might have been the tsar's daughters, or a daughter and a servant or something else. And very few people were named. But all in all, an enjoyable film and I'm surprised it's not seen more often.",positive
"Forest of the Damned starts out as five young friends, brother & sister Emilio (Richard Cambridge) & Ally (Sophie Holland) along with Judd (Daniel Maclagan), Molly (Nicole Petty) & Andrew (David Hood), set off on a week long holiday 'in the middle of nowhere', their words not mine. Anyway, before they know it they're deep in a forest & Emilio clumsily runs over a woman (Frances Da Costa), along with a badly injured person to add to their problems the van they're travelling in won't start & they can't get any signals on their mobile phones. They need to find help quickly so Molly & Judd wander off in the hope of finding a house, as time goes by & darkness begins to fall it becomes clear that they are not alone & that there is something nasty lurking in the woods...<br /><br />This English production was written & directed by Johannes Roberts & having looked over several other comments & reviews both here on the IMDb & across the internet Forest of the Damned seems to divide opinion with some liking it & other's not, personally it didn't do much for at all. The script is credited on screen to Roberts but here on the IMDb it lists Joseph London with 'additional screenplay material' whatever that means, the film is your basic backwoods slasher type thing like The Texas Chainsaw Massacre (1974) with your basic stranded faceless teenage victims being bumped off but uses the interesting concept of fallen angels who roam the forest & kill people for reason that are never explained to any great deal of satisfaction. Then there's Stephen, played by the ever fantastic Tom Savini, who is never given any sort of justification for what he does. Is he there to get victims for the angels? If so why did he kill Andrew by bashing his head in? The story is very loose, it never felt like a proper film. The character's are poor, the dialogue not much better & the lack of any significant story makes it hard to get into it or care about anything that's going on. Having said that it moves along at a reasonable pace & there are a couple of decent scenes here.<br /><br />Director Johannes doesn't do anything special, it's not a particularly stylish or flash film to look at. There's a few decent horror scenes & the Tom Savini character is great whenever he's on screen (although why didn't he hear Judd breaking the door down with an axe while escaping with Molly?) & it's a shame when he gets killed off. There are a couple of decent gore scenes here, someone has their head bashed in, there's a decapitation, someone gets shotgun blasted, someone throat is bitten out, someones lips are bitten off & someone is ripped in half. There is also a fair amount of full frontal female nudity, not that it helps much.<br /><br />Technically Forest of the Damned is OK, it's reasonably well made but nothing overly special or eye-catching. This was shot in England & Wales & it's quite odd to see an English setting for a very American themed backwards horror. The acting is generally pretty poor save for Savini who deserves to be in better than this. Horror author Shaun Hutson has an embarrassing cameo at the end & proves he should stick to writing rather than acting.<br /><br />Forest of the Damned was a pretty poor horror film, it seems to have fans out there so maybe I'm missing something but it's not a film I have much fondness for. Apart from one or two decent moments there's not much here to recommend.",negative
"I saw this DVD on sale and bought it without a second thought, despite not even having known it was out since this is one of my favorite books of all time. As soon as I got home I raced to watch it only to find myself utterly disappointed. While it is true that this film is somewhat based on the book, the similarities end there. The characters are changed (ie Finny seems more a pompous jerk than anything else whereas Gene seems to be somewhat of a hillbilly), scenes are misplaced or altogether changed (ie. Lepper), many characters are missing and famous lines/thought are missing. The movie does attempt to portray some feeling that the previous one lacked but it is done in a lackluster way that makes for a flat boring movie. It is the depth of character and feeling that makes the book such a classic and this movie takes those things and utterly destroys them in its rewriting.",negative
"I don't know much about Tobe Hooper, or why he gets his name in the title, but maybe he shouldn't have bothered. As another commenter mentioned, there isn't really enough horror or erotica to bring in fans of either genre. The plot is incoherent, the Sade sequences are gratuitous, and most of the acting is so-so. Englund was doing his best with weak material, and Zoe Trilling has a really great bottom, but neither is enough to carry this film. This one's a tape-over. Grade: F",negative
"Watching John Cassavetes film, Opening Night, I was reminded of something that Quentin Tarantino said once in an interview about personal experience in being a creator of art or acting. He referred to an example of, say, if he ran over a dog while on his way to act in a play that it wouldn't be the end of his life but that it would affect him, and that, without a doubt, he would have to bring that experience with him on stage even if it was a light comedy. ""Otherwise,"" as he said, ""what am I doing?"" I couldn't help but think of his words when watching Gena Rowland's character, Myrtle Gordon, who for almost a whole week or so goes through a very similar scenario. There is more to this in Cassavetes' film, of course, since it's about how the theater works around a star actress, what emotion and human nature mean when looking at playing a character, and how one lives when all one has (like Myrtle Gordon) is the theater.<br /><br />Near the beginning of the film, after exiting a performance, Myrtle is signing autographs and one such fan named Nancy comes up to her favorite star and pours her heart out to Myrtle. It's a touching little moment, but it doesn't last as she has to get in the car (pouring rain and all). She then watches in horror as the girl, who stood right next to the car as it drove off, gets hit by another car in an auto accident. She's not sure really what happened, but then finds out the next day that in fact the girl did die from the hit. From then on she's sort of stunned by this even after she thinks it's out of her system. At first this shows in small ways, like when she rehearses a scene with her fellow actor (played by Cassavetes) and can't seem to stand being hit - she blames it on the lack of depth in the character (the writer: ""What do you think the play lacks?"" ""Hope,"" says Myrtle)- but then Nancy starts to show up to her, an apparition that to Myrtle is all to real, until she's suddenly gone.<br /><br />Cassavetes, as in the past films, is after a search for what it means to have emotion, to really feel about something and feel it, or the lack thereof, and how it affects others around the person. This isn't exactly new ground for Rowlands, who previously played a woman on the edge of herself in Woman Under the Influence (in that case because of alcohol), nor would it be alien territory for costar Ben Gazzara, who just came off starring in Killing of a Chinese Bookie. But the actors express everything essential to their characters in every scene; Cassavetes doesn't tell them how to get from A to B in a scene, and he doesn't need to. There's a mood in a Cassavetes film that trumps the sometimes grungy camera-work. You know Myrtle, for example, should be content somehow, even if it isn't with the plot. But she's haunted, and is unsatisfied with her character's lack of depth and the tone of the play (""Aging, who goes to see that?"" she asks the playwright), and it starts to affect those around her too.<br /><br />The question soon becomes though not what is the usual. A conventional dramatist would make the conflict 'Will she be able to go on stage, will the show go on?' This isn't important for Cassavetes, even if it's there, as is the question 'Will she be alright?' Perhaps going through such a grueling play as ""The Second Woman"" could help her work out her personal demons and her losing her grip on reality (seeing Sara and attacking her in front of total strangers, who wonder what the hell is going on)? Or will the play's lack of hope strain everything else wrong with her? The depths Rowlands makes with her character are intense and harrowing, and that it's expected doesn't mean it's any duller than Woman Under the Influence- if anything, it's just as good as that film at being honest about a person in this profession, and consequently the other performances are just as true, from Gazarra to Nancy played by a subtle Laura Johnson. Cassavetes answers to his own posed questions aren't easy.<br /><br />One of the real thrills of Opening Night, along with seeing great actors performing an amazing script, is to see Cassavetes take on the theater the way he does. We see the play performed- and it's apparently a real play- and we only know slightly what it's about. When we see the actors on the stage performing it, we wax and wane between being involved in what melodrama is going on (relationship scuffling and affairs and the occasional slap and domestic violence) and the improvisation of the actors. I wondered watching how much really was improvised, how much Cassavetes allowed for the other actors to do in the scenes where Myrtle starts to go loopy or, in the climax, is completely smashed. He's on the stage, too, so it must have been something for them to work it out beforehand and let what would happen happen.<br /><br />It's funny, startling, chilling, and edge-of-your-seat stuff, some of the best theater-on-film scenes ever put in a movie, and we see the lines between actor on stage, actor on film, actor with actor, blur together wonderfully. Opening Night is a potent drama that is full of frank talk about death and madness, reality and fiction, where the love is between people, and really, finally, what does 'acting' mean?",positive
"A teen-aged girl gets the horse of her dreams and is trained by an ex-Jockey to participate in London's Grand National Steeplechase. A fine adaptation of the classic children's book, with an excellent, start-making performance by Taylor as the energetic but polite youngster. Rooney is OK as her trainer, although he has some overly melodramatic moments. Crisp and Revere are quite good as Taylor's loving parents. Filmed in Technicolor, it looks beautiful. The problems are that there are corny elements, nothing very interesting happens, and it drags on a bit too long. The race is exciting but could have been much more so.",positive
"I liked the understated character that Laura Linney played in 'Love Actually', and she is very good in 'Man of the Year'.<br /><br />But wow. Robin Williams doesn't give that much of a performance, with a couple of minor exceptions this was weak. Laura Linney may not have been miscast, but either the editing raped her character, or this was just a sad performance by director Barry Levinson.<br /><br />And I think it was Barry Levinson that got old. So many weak performances, such uneven results have to be the fault of management.<br /><br />Christopher Walken and Jeff Goldblum are great in supporting roles. Goldblum plays a sinister side with relish, and Walken's combination of entertainer's manager and commentator for the film is wonderful.<br /><br />But the story is cliché, the presentation looks like it could have (should have) been a very good picture, and too many actions are half-hearted. The pacing, story, and direction all come up weak, compared to, say 'Head Office' (spoof of 'Secret of My Success').",negative
"This film is probably the worst movie I have watched in a very long time. The acting is so wooden a door could have done a better job. The plot is laughable and shallow and the actual ""rugby"" shown is a far cry from reality. I still don't get the ""haka"" as portrayed in this poor excuse for entertainment. I am not a Kiwi but I do know that the Haka can only be performed by someone of Maori origin and not by an all-American white boy.<br /><br />I am assuming that this was made for the American audience so the shallowness and ""Disney end'"" is excusable but there was hardly any attempt to point out the basic rules of the game apart from the prison side where the main character suddenly takes charge of an American Football game and gets everyone playing rugby instead. The only thing good about this film were the end credits. It would be less painful to spend ninety minutes inserting toothpicks into your eyeballs.",negative
"This is the kind of film one watches in gape-jawed, horrified silence, and yet continues to watch, mesmerized, as if watching a train wreck in slow motion. And yet, in the back of your mind, thoughts are churning: ""Who on EARTH green-lighted this garbage?""<br /><br />Some of the preceding user comments say things like, ""A good way to introduce children to Laurel and Hardy"" -- an insult to children everywhere. That children would need some sort of training plan to learn to love slapstick comedy shows a profound misunderstanding of the nature of children the world over. Others have commented on the faithfulness of the two stars' characterizations of Laurel and Hardy to which I would respond: so WHAT? One would think that the rash of movie BOMBS based on beloved series (Rocky and Bullwinkle, Avengers, Flipper, Mod Squad, ad nauseam) would have taught Hollywood that there are some things that simply can't be recreated. The films of Laurel and Hardy are readily available on video: why bother with this?<br /><br />As for F. Murray Abraham, a fine actor of stage and screen... well, all I can say is, he must have been in trouble with the IRS.<br /><br />Run, don't walk, away from the television if this trash comes on!",negative
"Sorry I couldn't disagree more ,with the last comments . frankly I thought this was worse than Carry on Columbus , enough said . Last film for THE usually brilliant Charles Hartrey who looked out of place as the humour had move on to the Highly witty level of on the buses, films of which were being made at the same time ,were frankly funnier .Barbara Windsor was embarrassing,a character like one of your mums flirty friends who still thinks she's eighteen , on holiday with some non entity of a Scotsman , Rab c Nesbit he ain't. The series miraculously trundled on with duffers like Carry on Behind ,and Carry on England . Carry on Dick wasn't bad , but really with this film the end of the series was nigh , a pity because up to this film I cant think of bad film before this?",negative
"Next to the slasher films of the 1970s and 80s, ones about the walking dead were probably the second most popular horror sub-genre. While slasher films had 'Black Christmas' and 'Halloween' to get the whole thing going, zombie flicks had George Romero's 'Dead' films. And unsurprisingly soon after the success of his first two in the series, other directors wanted to cash in. A lot of Italian directors were especially interested, such as Lucio Fulci who brought us 'Zombie' a year after Romero's 'Dawn of the Dead', known as 'Zombi' in Italy and some other countries, and it was there that Fulci's film was known as 'Zombi 2'. Apart from the walking dead it has no relation to Romero's film, but is a good film in it's own right. It was a big success in Europe and 9 years later a sequel was born.<br /><br />Pros: Lots of beautiful, lush scenery. Awesome score. The acting isn't exactly good, but the cast is game and seem to be enjoying the experience. After kind of a slow start, the pace moves along like that of an action flick. Plenty cheese and unintentional hilarity for bad film lovers. Good job on the make-up effects. Lots of blood and some decent gore.<br /><br />Cons: Virtually plot less. Nothing you haven't already seen before. Blatantly rips off some things from the first couple of 'Return of the Living Dead' films. Cardboard characters. Hasn't aged too well due to the bad 1980s rock music(Not that I'm saying all rock music of that period is bad), clothing, and overall feel of the movie.<br /><br />Final thoughts: First of all, this is not a true sequel to Fulci's cult classic. In fact, I don't know if it was ever meant to pick up where that film left off. For those that don't know, Fulci was ill during production and ended up leaving and was replaced with Bruno Mattei. Mattei's films are pretty laughable, but like this film many are good campy fun. And that's all this film really is, just something to watch for fun.<br /><br />My rating: 3.5/5 (So-bad-it's-good rating) 2/5 (Serious rating)",negative
